,Date,holiday,R0,Rt,R0_ma7,Rt_ma7,R0_ma14,Rt_ma14,casos,mortes
178,2020-08-22,0,0.8881825385167164,0.02642328904307231,0.8282525073951216,0.5296644274635501,0.76210040222863,0.38848171966688316,45908,828
179,2020-08-23,0,0.6559645254807587,0.015245134956396095,0.8361476855137059,0.5296768988403505,0.754335493123967,0.38814777011218793,21873,455
180,2020-08-24,0,0.5215850795181938,0.018946115600247414,0.8575823388270656,0.5298107270238593,0.7607641531926786,0.38850470268073956,23513,723
181,2020-08-25,0,0.12187822036164428,0.05813850041800316,0.8728729354574184,0.5366765897453455,0.7684919854148268,0.3919295907053722,46307,1203
182,2020-08-26,0,0.8223413583324595,0.8171384374719083,0.9436485202282455,0.6088728115492968,0.8222323621140398,0.4454691959259475,48152,1079
183,2020-08-27,0,1.1393241226676398,1.1240734512510013,0.8535068463747572,0.5495175683855434,0.7919800662812818,0.4296980650738555,42260,985
184,2020-08-28,0,1.140465976723768,0.880104745063414,0.7556774030858827,0.42000995340057734,0.768757421752381,0.4747611782972227,44088,849
185,2020-08-29,0,0.5031470266535966,0.019884446405128993,0.70067232996258,0.41907583302372825,0.7644624186788508,0.47437013024363944,37291,897
186,2020-08-30,0,1.0377810894986212,0.017640231975916746,0.7552175533937032,0.4194179897408027,0.7956826194537046,0.4745474442905767,14534,401
187,2020-08-31,0,0.12149631702545237,0.01398365107645592,0.6980620158947402,0.4187090662374039,0.7778221773609028,0.47425989663063184,50225,647
188,2020-09-01,0,0.038240229493105626,0.02982151645400799,0.6861137314849489,0.41466378281397603,0.7794933334711837,0.47567018627966096,44329,1150
189,2020-09-02,0,0.016968578105836508,0.013082359780880471,0.57106047716686,0.2997986288581149,0.7573544986975528,0.454335720203706,46453,1204
190,2020-09-03,0,0.23057856613971056,0.22848066280361387,0.4412396833771558,0.17185680193705952,0.6473732648759565,0.36068718516130166,46809,867
191,2020-09-04,0,1.9670391048168239,0.16908747983566508,0.5593215588190209,0.07028290690452396,0.6574994809524519,0.24514643015255083,39539,849
192,2020-09-05,0,4.0420131460078474,4.031227004993973,1.064873861583914,0.6433318438457872,0.882773095773247,0.5312038384347579,33857,604
193,2020-09-06,0,1.0479874519808563,0.015569432999713648,1.0663319133670905,0.6430360154206154,0.9107747333803969,0.5312270025807092,14672,458
194,2020-09-07,0,1.0945016521048174,0.020163339498775912,1.2053326755212854,0.6439188280523754,0.9516973457080127,0.5313139471448898,9516,320
195,2020-09-08,0,0.38557794651346516,0.015302283466107148,1.2549523493813368,0.6418446519112467,0.9705330404331428,0.5282542173626116,18786,525
196,2020-09-09,0,0.019523773558258635,0.01713905074874092,1.2553173773031112,0.6424241791923696,0.9131889272349857,0.4711114040252425,37087,1157
